"id","worksite_city","state_Id"
"1305","milford","322"
"1306","santa cruz","305"
"1307","carol stream","313"
"1308","great neck","332"
"1309","edgewood","332"
"1310","washington d.c.",""
"1311","kendall","309"
"1312","tualatin","337"
"1313","harvey","313"
"1314","providence","339"
"1315","glendale","306"
"1316","colmar","338"
"1317","mississippi state","324"
"1318","mi","322"
"1319","mounds view","323"
"1320","west new york","330"
"1321","pearl river","332"
"1322","monmouth junction","330"
"1323","kankakee","313"
"1324","marina del rey","305"
"1325","devens","321"
"1326","bedminster","330"
"1327","whitehouse station","330"
"1328","emeryville","305"
"1329","elmsford","332"
"1330","roswell","310"
"1331","greenfield","349"
"1332","institute","348"
"1333","spring","343"
"1334","littleton","321"
"1335","delray beach","309"
"1336","homewood","301"
"1337","jacksonville beach","309"
"1338","lindon","344"
"1339","tuscaloosa","301"
"1340","decatur","310"
"1341","denville","330"
"1342","chesapeake","346"
"1343","union city","305"
"1344","rio rancho","331"
"1345","hilliard","335"
"1346","bristol,","307"
"1347","lathrope","305"
"1348","valhalla","332"
"1349","sumner","347"
"1350","westmont","313"
"1351","cranberry township","338"
"1352","avon","335"
"1353","johnston","339"
"1354","bolingbrook","313"
"1355","wilmington","321"
"1356","lemont","313"
"1357","middleburg heights","335"
"1358","abbott park","313"
"1359","irwindale","305"
"1360","ewing","330"
"1361","rapid city","341"
"1362","mount laurel township","330"
"1363","elkton","320"
"1364","moraine","335"
"1365","miami gardens","309"
"1366","santa fe","331"
"1367","brentwood","342"
"1368","northville","322"
"1369","mt. juliet","342"
"1370","camden","330"
"1371","melrose","321"
"1372","lebanon","329"
"1373","galena park","343"
"1374","jeffersonville","314"
"1375","lowell","304"
"1376","hudson","349"
"1377","dubuque","315"
"1378","kershaw","340"
"1379","ijamsville","320"
"1380","dallas,","343"
"1381","oak brook","313"
"1382","unionville","333"
"1383","liberty lake","347"
"1384","green bank","348"
"1385","daytona beach","309"
"1386","sammamish","347"
"1387","casa grande","303"
"1388","bayonne","330"
"1389","poway","305"
"1390","west orange","330"
"1391","estero","309"
"1392","fontana","305"
"1393","belmont","305"
"1394","clarks summit","338"
"1395","richfield","335"
"1396","norwalk","307"
"1397","salisbury","320"
"1398","hastings","322"
"1399","indian trail","333"
"1400","des moines","347"
"1401","newtown","307"
"1402","ellicott city","320"
"1403","lake buena vista","309"
"1404","napa","305"
"1405","petaluma","305"
"1406","helotes","343"
"1407","sewell","330"
"1408","belton","343"
"1409","ukiah","305"
"1410","new richmond","349"
"1411","chantilly","346"
"1412","galveston","343"
"1413","erie","338"
"1414","springfield","346"
"1415","fayetteville","333"
"1416","ypsilanti","322"
"1417","manhattan beach","305"
"1418","avenel","330"
"1419","mission viejo","305"
"1420","highland heights","317"
"1421","carlisle","315"
"1422","west allis","349"
"1423","commerce","305"
